"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg"
40137,"OK","stephens county",-4.06571506807547,0,1620521,44805,0.404107560148767,44293,0,0.0724267943015826,0.619590741361959
40139,"OK","texas county",-0.489819621228282,32796,1200156,49469,0.279944717444717,21409,0,0.450698304451399,0.651533529717553
40141,"OK","tillman county",-2.19089644463859,0,183380,40728,0.35279335008699,7591,0,0.257673560795679,0.475609756097561
40149,"OK","washita county",-4.14446836592707,77317,259070,51909,0.413632240507969,11550,0,0.0963636363636364,0.705056179775281
40151,"OK","woods county",-4.03398587618527,0,538516,57097,0.310560083232183,9132,0,0.0676741130091984,0.661391541609823
40153,"OK","woodward county",-3.32162606155051,0,1213795,57602,0.383696517773112,21140,0,0.121807000946074,0.720718341476297
42001,"PA","adams county",-6.68184327977517,1075132,3273869,62661,0.415334245918065,101589,0.308213436942223,0.0678321471812893,0.364292078577793
42003,"PA","allegheny county",-27.0922954158429,6350,89047735,56333,0.283794467298527,1229605,0.975137082825165,0.0195802717132738,-0.164075606407607
42007,"PA","beaver county",-7.14107725702844,86593,6531236,53981,0.387893295732157,168161,0.701106491770211,0.0147834515731947,0.200617440153854
42009,"PA","bedford county",19.4953893357887,201170,1341876,48703,0.515481053669531,48891,0.000622965314898919,0.0113926898611196,0.674012933968686
42011,"PA","berks county",-7.70603766286813,1533340,18630380,59580,0.37716265447532,415500,0.732521230209847,0.195903730445247,0.101884797708232
42013,"PA","blair county",8.29786275835258,193132,5122639,45664,0.461574157913799,124736,0.628929332987119,0.0117608388917394,0.463799035153472
42015,"PA","bradford county",-4.33148686853422,87363,2965178,50900,0.473154207761084,61546,0,0.0143144964741819,0.460411827237293
42017,"PA","bucks county",-1.92793233610897,313647,30862030,82031,0.293479485896413,626486,0.911083424363733,0.0501176402984265,-0.00580315962775707
42021,"PA","cambria county",-3.1008515555755,242478,4288812,44943,0.449551789232626,135871,0.427995740504875,0.0154263970972467,0.377482673226187
42023,"PA","cameron county",-5.28012466961025,1219,164211,40402,0.465161649944259,4754,0,0.00820361800588978,0.506916996047431
42025,"PA","carbon county",-0.434292102651268,28799,1685264,51236,0.462431563025926,63987,0.270502229919233,0.0426180317877069,0.34110929285192
42027,"PA","centre county",-9.25672247307961,445120,8401967,56466,0.305279926699499,160646,0.567919994804857,0.0283791691047396,-0.0193118815820887
42029,"PA","chester county",-13.61036076745,780928,42967729,92417,0.219637729943093,514652,0.864748660014512,0.0724062084670807,-0.0922827664577685
42031,"PA","clarion county",-8.80992958779983,210114,1127559,44373,0.459229100871352,38747,0,0.0080264278524789,0.474171958125965
42033,"PA","clearfield county",-1.87368483276009,11687,2435232,45188,0.497071767095464,80539,0,0.028930083562001,0.495809372323504
42035,"PA","clinton county",-7.47641580406141,161981,1485740,47990,0.462516839686188,39321,0,0.01424175377025,0.348271446862996
42037,"PA","columbia county",-10.743960954869,683442,2213097,48395,0.44491197743711,66615,0.587027267999108,0.0258500337761765,0.327533453754562
42039,"PA","crawford county",-37.2467393497717,885939,2466439,47179,0.455817586545013,86847,0,0.0120441696316511,0.385147484745381
42041,"PA","cumberland county",-9.70473197144832,857976,13837483,65544,0.331243865962518,245801,0.704778128000136,0.0353863491198164,0.18569020057705
42043,"PA","dauphin county",-6.77705939213932,591389,22548708,57071,0.342706744619556,273329,0.830925027974636,0.0853001328069835,-0.0281730178242163
42045,"PA","delaware county",-10.0949410836079,2700,28937551,69839,0.311488558250104,563384,0.99536118530392,0.035675489541769,-0.219813784967981
42047,"PA","elk county",-3.55477938924436,10650,1252225,49876,0.482576463798997,30781,0,0.00756960462623047,0.437924065251913
42049,"PA","erie county",-37.4592921838756,517586,10754863,48192,0.395290852835164,277794,0.700765595261008,0.0401448555404364,0.0200272944387581
42051,"PA","fayette county",-5.08694074947264,110993,3596055,41632,0.496943582554196,133160,0.472651274468179,0.0108290778011415,0.309998876951297
42053,"PA","forest county",-2.08842612487583,0,244444,37106,0.548748353096179,7388,0,0.0698429886302112,0.4395329441201
42055,"PA","franklin county",4.68583217944794,1202389,5164154,58267,0.424185634776385,153003,0.403627905733267,0.0526983131049718,0.464806402768765
42057,"PA","fulton county",11.8615289511642,41172,455056,50007,0.521888740202638,14631,0,0.0118925568997334,0.707696870829008
42059,"PA","greene county",-24.2833966525647,0,2729748,50972,0.459949489238192,37338,0,0.0147570839359366,0.417051153460381
42061,"PA","huntingdon county",-1.29349516540617,233401,1026126,46765,0.503177283192632,45686,0,0.0185833734623298,0.506873204759951
42063,"PA","indiana county",7.46082899802045,502997,4357639,46306,0.437033065236819,86551,0,0.0126861619160957,0.356552162849873
42065,"PA","jefferson county",1.47415529835162,128236,1531428,45342,0.500350787677786,44258,0,0.0083148809254824,0.598134871435502
42067,"PA","juniata county",-3.17230492901484,306575,562828,50571,0.50374531835206,24448,0,0.0324770942408377,0.617573543549317
42069,"PA","lackawanna county",-1.77615861743783,6590,8725181,48380,0.374525007874649,211960,0.823836371521706,0.0668805434987734,-0.0339789760560639
42071,"PA","lancaster county",-6.17799074843284,1960845,26274617,61492,0.366657535471896,536494,0.773375429544995,0.100265799803912,0.196858888317423
42073,"PA","lawrence county",-34.0815876505023,432451,2733009,47188,0.44063085670722,88231,0.00476357729288317,0.0130453015380082,0.280853162372087
42075,"PA","lebanon county",-6.47163881069853,948916,4908836,57698,0.434622858902611,137616,0.734442381408721,0.122042495058714,0.355549519573558
42077,"PA","lehigh county",-12.1409331262388,819488,24320443,60116,0.32970197284433,360774,0.920743239570011,0.227580147128119,-0.0444485104325267
42079,"PA","luzerne county",-5.55748291374062,125126,15897603,49290,0.38732630464511,318222,0.800151440554908,0.101149511975916,0.196291747971461
42081,"PA","lycoming county",-3.49847409234905,445965,5493959,50634,0.393540848291979,115398,0.483520079923521,0.0190991178356644,0.448343738815763
42087,"PA","mifflin county",-2.29273201800001,303100,1307229,46286,0.514643450439919,46452,0,0.0144234909153535,0.574976698283897
42089,"PA","monroe county",-4.95579621634977,67136,5374456,61430,0.361206647588543,167306,0.325367105898423,0.149307257360764,-0.00339682154555376
42091,"PA","montgomery county",2.51749091015598,86632,81404132,84791,0.240949665694225,818677,0.970662879403506,0.0488238951381314,-0.211139935764429
42093,"PA","montour county",-9.82899222521996,238594,1874590,56250,0.418398510242086,18302,0.462309081951059,0.0254070593377773,0.283889865260691
42083,"PA","mckean county",-4.59215154137951,6570,1843052,45866,0.477791237633757,42070,0,0.0209888281435702,0.472450552273311
42095,"PA","northampton county",-8.3349046630512,581247,11697094,65390,0.348719394753318,300941,0.872107746821838,0.12408744571195,0.0381579408159692
42097,"PA","northumberland county",-4.26452146036425,961692,2694774,44534,0.502560156273123,93038,0.0172329891672309,0.0315999914013629,0.435618083554946
42099,"PA","perry county",-4.060168919647,481120,676620,60847,0.457677925770265,45878,0.0572124692727708,0.0176337242251188,0.519217132321657
42101,"PA","philadelphia county",3.38970501220054,0,110339179,40649,0.338222768907867,1569657,1,0.14129010350669,-0.669076646472428
42103,"PA","pike county",-6.74716919494235,0,1020490,63417,0.340292223873205,55687,0,0.103381399608526,0.260415867413489
42105,"PA","potter county",-6.99399347036134,17166,597225,41406,0.477644939403865,17070,0,0.0123608670181605,0.636106467789636
42107,"PA","schuylkill county",-0.401027182393177,491506,4373621,47642,0.471936114114456,144287,0.0252614826453749,0.0383679749388372,0.433673306772908
42109,"PA","snyder county",-2.77762890897622,405230,1167807,54182,0.451750958282163,40570,0,0.0217894996302687,0.472601481662891
42111,"PA","somerset county",-1.77227752501486,386184,2382289,46132,0.498960055463709,75619,0.0967302101823982,0.0142424522937357,0.55919395465995
42113,"PA","sullivan county",-4.85214555856727,9000,144330,45519,0.487655580493777,6192,0,0.017764857881137,0.493055555555556
42115,"PA","susquehanna county",-3.72349227132696,0,1180795,52014,0.461124694376528,41716,0.100078420518498,0.0166842458529102,0.428645833333333
42117,"PA","tioga county",-4.31008726798033,54200,1450526,50017,0.445893357001434,41550,0,0.0124428399518652,0.535710164993654
42119,"PA","union county",-2.80299294191649,595411,1510489,53768,0.396914949126011,45056,0,0.0568403764204545,0.256724137931034
42121,"PA","venango county",-5.67506402771961,43550,1647699,46487,0.489658050549049,52880,0,0.0108547655068079,0.423832367849384
42123,"PA","warren county",-4.26299096738362,15155,1617906,45781,0.466137081169162,40345,0,0.0101127772958235,0.408760780753518
42125,"PA","washington county",-32.8998421189929,46802,14381398,59309,0.385065599827582,207661,0.66796747185064,0.015689031642918,0.252772190417247
42127,"PA","wayne county",-9.10318446920249,0,1312678,52161,0.434343951654205,51656,0.00832986255726781,0.0415053430385628,0.396646545942321
42129,"PA","westmoreland county",-26.7887016661863,361967,13207858,56702,0.378961654624001,356835,0.735741533372219,0.0109378284080878,0.313200176075712
42131,"PA","wyoming county",-3.16457107328273,9650,1457120,55965,0.477285445388411,27760,0.0442778327910596,0.0179034582132565,0.386696730552424
42133,"PA","york county",-8.34314637514949,2084776,19109164,61707,0.402529604006621,442216,0.703652189106425,0.0692941910740453,0.292907316160726
45001,"SC","abbeville county",-0.972717259594291,0,430111,35254,0.342723553477499,24788,0,0.0133935775375182,0.28254382693025
45003,"SC","aiken county",-29.9065559858295,102496,6152269,47713,0.316549448641139,165707,0.630010181200382,0.055012763492188,0.274898693378626
45005,"SC","allendale county",-1.08484838994243,248215,311210,23331,0.401138406231276,9402,0,0.0306317804722399,-0.540525433202907
45007,"SC","anderson county",-4.53853182511071,100361,5686712,45551,0.315051154941462,194174,0.573287517501576,0.0351385870404895,0.436746537810103
45009,"SC","bamberg county",3.15749865704193,69383,267468,32330,0.318723490203999,14842,0,0.019404392938957,-0.272639225181598
45011,"SC","barnwell county",-6.97239170719159,65743,545351,34035,0.349784512720701,21788,0,0.0230402056177713,0.0520097056651546
45013,"SC","beaufort county",-8.20054752156681,33700,7468486,60603,0.222814095694383,179316,0.425301880628479,0.112577795623369,0.143039714167926
45015,"SC","berkeley county",-9.45280858834053,44358,6516374,56697,0.299696188615615,204632,0.710463723621396,0.0627956526838422,0.173988519874808
45017,"SC","calhoun county",1.87030037579235,118805,723081,44010,0.390203017321661,14808,0,0.0357914640734738,0.0285979081159804
45019,"SC","charleston county",-11.6451887670649,33619,27574878,57882,0.226133561932395,387847,0.891190688988575,0.0503033412660147,-0.0785612738129087
45021,"SC","cherokee county",-0.763099571442361,31253,1601280,35286,0.365540648035212,56549,3.61389180007951e-05,0.0410794178500062,0.417210627930496
45023,"SC","chester county",-0.0655264917358345,19215,881462,37421,0.387699459169535,32424,0,0.0190907969405379,0.0485847063793832
45025,"SC","chesterfield county",0.196123771025103,294483,1387832,38469,0.408156823132043,46127,0,0.041949400567997,0.14309901914993
45027,"SC","clarendon county",2.74065662786572,1011400,498060,35838,0.37138921355819,34156,0,0.0299800913455908,-0.0256664027447875
45029,"SC","colleton county",1.17145832974676,147690,844442,34996,0.40929500709982,37581,0,0.0307602245815705,0.0851372526260809
45031,"SC","darlington county",2.10396829923877,1051310,2212585,36217,0.355057204263726,67572,0.202137417917619,0.0191943408512402,0.0373532190579026
45033,"SC","dillon county",-2.35080475985912,1055973,842995,30866,0.368046349486915,31073,0,0.0267112927622051,-0.016672366621067
45035,"SC","dorchester county",-8.82595207904521,205881,2687852,58685,0.279158851608165,151716,0.805170077990553,0.0504297503229719,0.174855514464563
45037,"SC","edgefield county",-1.05808493542301,32829,541013,47500,0.360031023784902,26620,0.0978321289605336,0.0565364387678437,0.201906561319134
45039,"SC","fairfield county",0.782092554448854,0,1536463,35551,0.387823439878234,22868,0.00225413257639005,0.0199842574776981,-0.25879843583363
45041,"SC","florence county",-2.14758633217444,1093916,6505334,43310,0.328827613011887,138537,0.552829017058114,0.024845348174134,0.0496451445386879
45043,"SC","georgetown county",-1.72513776378678,70832,2484173,46967,0.286805090421969,61065,0.12531999069118,0.0300990747564071,0.130080269044069
45045,"SC","greenville county",-6.21309312358181,9200,27953006,53739,0.248675953132368,490332,0.873632888248656,0.0884054069487612,0.246993931144008
45047,"SC","greenwood county",-2.94107050246332,0,2842590,39196,0.30809593609925,69981,0,0.0583586973607122,0.218461538461538
45049,"SC","hampton county",1.68864064574967,156508,409279,32147,0.434195402298851,20066,0,0.039818598624539,-0.19103934500796
45051,"SC","horry county",-2.50752458252347,996439,12569153,46475,0.327778881603638,310186,0.696220816885822,0.0598930964002244,0.378207754030023
45053,"SC","jasper county",1.89509572594466,0,928680,39740,0.349251082928866,27465,0,0.132423083924995,-0.118809791783905
45055,"SC","kershaw county",-1.35587733789343,93830,1662932,46565,0.365657855725591,63734,0.203640371492941,0.0407788621457935,0.24834632034632
45057,"SC","lancaster county",-3.10862185846825,47547,2058481,50557,0.328758862358406,86544,0.187627198246621,0.0503789979663524,0.255185060825994
45059,"SC","laurens county",-4.94954978868553,0,3964974,40580,0.3482371653265,66508,0.0347475840509792,0.0448367113730679,0.299350305960565
