dyad,state1no,state1ab,state2no,state2ab,year,conttype,version
2070,2,"USA",70,"MEX",1970,1,3.1
2070,2,"USA",70,"MEX",1971,1,3.1
2070,2,"USA",70,"MEX",1972,1,3.1
2070,2,"USA",70,"MEX",1973,1,3.1
2070,2,"USA",70,"MEX",1974,1,3.1
2070,2,"USA",70,"MEX",1975,1,3.1
2070,2,"USA",70,"MEX",1976,1,3.1
2070,2,"USA",70,"MEX",1977,1,3.1
2070,2,"USA",70,"MEX",1978,1,3.1
2070,2,"USA",70,"MEX",1979,1,3.1
2070,2,"USA",70,"MEX",1980,1,3.1
2070,2,"USA",70,"MEX",1981,1,3.1
2070,2,"USA",70,"MEX",1982,1,3.1
2070,2,"USA",70,"MEX",1983,1,3.1
2070,2,"USA",70,"MEX",1984,1,3.1
2070,2,"USA",70,"MEX",1985,1,3.1
2070,2,"USA",70,"MEX",1986,1,3.1
2070,2,"USA",70,"MEX",1987,1,3.1
2070,2,"USA",70,"MEX",1988,1,3.1
2070,2,"USA",70,"MEX",1989,1,3.1
2070,2,"USA",70,"MEX",1990,1,3.1
2070,2,"USA",70,"MEX",1991,1,3.1
2070,2,"USA",70,"MEX",1992,1,3.1
2070,2,"USA",70,"MEX",1993,1,3.1
2070,2,"USA",70,"MEX",1994,1,3.1
2070,2,"USA",70,"MEX",1995,1,3.1
2070,2,"USA",70,"MEX",1996,1,3.1
2070,2,"USA",70,"MEX",1997,1,3.1
2070,2,"USA",70,"MEX",1998,1,3.1
2070,2,"USA",70,"MEX",1999,1,3.1
2070,2,"USA",70,"MEX",2000,1,3.1
2070,2,"USA",70,"MEX",2001,1,3.1
2070,2,"USA",70,"MEX",2002,1,3.1
2070,2,"USA",70,"MEX",2003,1,3.1
2070,2,"USA",70,"MEX",2004,1,3.1
2070,2,"USA",70,"MEX",2005,1,3.1
2070,2,"USA",70,"MEX",2006,1,3.1
2365,2,"USA",365,"USR",1959,2,3.1
2365,2,"USA",365,"USR",1960,2,3.1
2365,2,"USA",365,"USR",1961,2,3.1
2365,2,"USA",365,"USR",1962,2,3.1
2365,2,"USA",365,"USR",1963,2,3.1
2365,2,"USA",365,"USR",1964,2,3.1
2365,2,"USA",365,"USR",1965,2,3.1
2365,2,"USA",365,"USR",1966,2,3.1
2365,2,"USA",365,"USR",1967,2,3.1
2365,2,"USA",365,"USR",1968,2,3.1
2365,2,"USA",365,"USR",1969,2,3.1
2365,2,"USA",365,"USR",1970,2,3.1
2365,2,"USA",365,"USR",1971,2,3.1
2365,2,"USA",365,"USR",1972,2,3.1
2365,2,"USA",365,"USR",1973,2,3.1
2365,2,"USA",365,"USR",1974,2,3.1
2365,2,"USA",365,"USR",1975,2,3.1
2365,2,"USA",365,"USR",1976,2,3.1
2365,2,"USA",365,"USR",1977,2,3.1
2365,2,"USA",365,"USR",1978,2,3.1
2365,2,"USA",365,"USR",1979,2,3.1
2365,2,"USA",365,"USR",1980,2,3.1
2365,2,"USA",365,"USR",1981,2,3.1
2365,2,"USA",365,"USR",1982,2,3.1
2365,2,"USA",365,"USR",1983,2,3.1
2365,2,"USA",365,"USR",1984,2,3.1
2365,2,"USA",365,"USR",1985,2,3.1
2365,2,"USA",365,"USR",1986,2,3.1
2365,2,"USA",365,"USR",1987,2,3.1
2365,2,"USA",365,"USR",1988,2,3.1
2365,2,"USA",365,"USR",1989,2,3.1
2365,2,"USA",365,"USR",1990,2,3.1
2365,2,"USA",365,"USR",1991,2,3.1
2365,2,"USA",365,"USR",1992,2,3.1
2365,2,"USA",365,"USR",1993,2,3.1
2365,2,"USA",365,"USR",1994,2,3.1
2365,2,"USA",365,"USR",1995,2,3.1
2365,2,"USA",365,"USR",1996,2,3.1
2365,2,"USA",365,"USR",1997,2,3.1
2365,2,"USA",365,"USR",1998,2,3.1
2365,2,"USA",365,"USR",1999,2,3.1
2365,2,"USA",365,"USR",2000,2,3.1
2365,2,"USA",365,"USR",2001,2,3.1
2365,2,"USA",365,"USR",2002,2,3.1
2365,2,"USA",365,"USR",2003,2,3.1
2365,2,"USA",365,"USR",2004,2,3.1
2365,2,"USA",365,"USR",2005,2,3.1
2365,2,"USA",365,"USR",2006,2,3.1
2020,20,"CAN",2,"USA",1920,1,3.1
2020,20,"CAN",2,"USA",1921,1,3.1
2020,20,"CAN",2,"USA",1922,1,3.1
2020,20,"CAN",2,"USA",1923,1,3.1
2020,20,"CAN",2,"USA",1924,1,3.1
2020,20,"CAN",2,"USA",1925,1,3.1
2020,20,"CAN",2,"USA",1926,1,3.1
2020,20,"CAN",2,"USA",1927,1,3.1
2020,20,"CAN",2,"USA",1928,1,3.1
2020,20,"CAN",2,"USA",1929,1,3.1
2020,20,"CAN",2,"USA",1930,1,3.1
2020,20,"CAN",2,"USA",1931,1,3.1
2020,20,"CAN",2,"USA",1932,1,3.1
2020,20,"CAN",2,"USA",1933,1,3.1
2020,20,"CAN",2,"USA",1934,1,3.1
2020,20,"CAN",2,"USA",1935,1,3.1
2020,20,"CAN",2,"USA",1936,1,3.1
2020,20,"CAN",2,"USA",1937,1,3.1
2020,20,"CAN",2,"USA",1938,1,3.1
2020,20,"CAN",2,"USA",1939,1,3.1
2020,20,"CAN",2,"USA",1940,1,3.1
2020,20,"CAN",2,"USA",1941,1,3.1
2020,20,"CAN",2,"USA",1942,1,3.1
2020,20,"CAN",2,"USA",1943,1,3.1
2020,20,"CAN",2,"USA",1944,1,3.1
2020,20,"CAN",2,"USA",1945,1,3.1
2020,20,"CAN",2,"USA",1946,1,3.1
2020,20,"CAN",2,"USA",1947,1,3.1
2020,20,"CAN",2,"USA",1948,1,3.1
2020,20,"CAN",2,"USA",1949,1,3.1
2020,20,"CAN",2,"USA",1950,1,3.1
2020,20,"CAN",2,"USA",1951,1,3.1
2020,20,"CAN",2,"USA",1952,1,3.1
2020,20,"CAN",2,"USA",1953,1,3.1
2020,20,"CAN",2,"USA",1954,1,3.1
2020,20,"CAN",2,"USA",1955,1,3.1
2020,20,"CAN",2,"USA",1956,1,3.1
2020,20,"CAN",2,"USA",1957,1,3.1
2020,20,"CAN",2,"USA",1958,1,3.1
2020,20,"CAN",2,"USA",1959,1,3.1
2020,20,"CAN",2,"USA",1960,1,3.1
